user,text,sentiment,latitude,longitude
tonjel_,At Rockstar studio ? https://t.co/pDh0zuzQme,neutral,-7.74566,110.42303
HendroSaputro,"Thank you for giving to the Lord.?
I am a life that was? https://t.co/pSlLnTRJWK",positive,-7.820956,110.377879
bayu_wdfc,"ngomongke sik raono bentuke. horor. .
?? (at Angkringan Sabin) [pic] ? https://t.co/7hzNcu2vLw",neutral,-7.79645,110.40564
diahaaans,"Indahnya Indonesia??
.
.
.
.
.
.
.
.
.
.
.
.
.
.
? @aldyfargesty

#explore #jogja #candi? https://t.co/6LV7byqdAd",positive,-7.75,110.49417
sukirboy,Kerindangan yang menyejukkan ???? @ Greenhost Boutique Hotel https://t.co/chP8yVTUbW,neutral,-7.82015102,110.36920436
AGNDHK,"Semoga besok diberi kelancaran deh. Mumet dewe nek kiwing ngunuu, case numpuk akeh.",positive,-7.76866,110.39672
ananda_dean,"Bayik!! ??? ? The Fate of the Furious (with Tiky, Sandrie, and 4 others at @cgvblitz) ? https://t.co/U3GElWKuFb",negative,-7.7735,110.40775
desiw1505,Huaaa ??? thankyou (at kos) [pic] ? https://t.co/3cGHA7ZY9b,neutral,-7.76223,110.39721
IndahSukmaP,"Cari yang anget-anget? (with Tatas, Pina, and 2 others at Warung Bakmi Jawa Pak Marmo) ? https://t.co/cXIs4Rgwdx",neutral,-7.80185,110.38171
Dwibuas29,Tak semua pesona itu mulia naif jika mudah berbangga ? @ Titik Nol? https://t.co/28EPq1gPuw,negative,-7.75546386,110.49266502
surlie_good,Ni?i lucu kan rotinya... rasa Vanilla nya beeuuuhh...? #bakery #bakeryjogja #pastry #foodie? https://t.co/NIQ8TxCf6n,positive,-7.77411732,110.41171704
chalyaratri,Fixing up the car to drive in it again. @ Yogyakarta https://t.co/bTPqq0EUla,positive,-7.80138889,110.36444444
RickyFebria,Done (at Pizza Hut Ambarrukmo Plaza) ? https://t.co/hUAPtZVmJo,neutral,-7.78263,110.40156
shidik_sidik,"Pump pump pump it up!! ??????
?
#celebrityfitness
#LIVEtoPLAY #like4like #instagood #strong? https://t.co/iGnJdUqDTR",positive,-7.7832351,110.3899765
EgaDali,??? #aqmarginanjar #azfarginanjar #myson #mysonshine #mysonismyworld #myeverything #loveofmylife? https://t.co/Zw9kOXNQMg,neutral,-7.75,110.49417
mahatmarya,FF8 (at @cgvblitz) ? https://t.co/xnnWlL4qhy,neutral,-7.75883,110.39907
deniardi45,"Pada akhirnya aku akan dilupakan, dan akan diingat kembali ketika dia kesepian.? https://t.co/fgXll10Dh3",positive,-7.74972795,110.40586335
reno08891,"We are family ?? (with Heri, @ariefarstyle, and Zulmi at RM Jejamuran) [pic] ? https://t.co/LumtBkFuyK",neutral,-7.75811,110.41043
AGNDHK,@ardhanadwiky aku pun. Berasa risih gitu kalo tidur gk pake baju,negative,-7.76863,110.39642
AGNDHK,@fredyjabangbayi ternyata perhatian aja gak cukup hahaha.,positive,-7.76863,110.39642
dharmawan_angga,Pencucian kaki yang di lakukan sebagai perwujutan rasa cinta seorang istri terhadap? https://t.co/VGC5msNlOV,positive,-7.77921706,110.45592255
setiawanefendi7,"Family no more ? The Fate of the Furious (with Faisal, ooobima, and 6 others at @cgvblitz) ? https://t.co/FSH23sE833",negative,-7.75895,110.39912
rudioNF,"Bayi? ? The Fate of the Furious (w/ Datuk Muda, Bima Aditya, &amp; 4 others at SphereX CGV Blitz Hartono Mall) ? https://t.co/H690n8anwi",negative,-7.7585,110.399
surlie_good,Dah cobain roti yg ini belum?? TARO. Mantaaapp..cobain deh kalo ga percaya... #bakery? https://t.co/qkVPigKlcO,negative,-7.77411732,110.41171704
dharmawan_angga,"Simbolis wujud pengabdian seorang istri
.
.
.
angga_sematawayang weddingorganizer. melayani? https://t.co/l8KtqzenQO",neutral,-7.77921706,110.45592255
mamas_rey,Waiting egen?? (at @calzonexpress) ? https://t.co/Dxw315cua0,neutral,-7.78012,110.39133
ermamarzukoh,"Habis sempro terbitlah karokeee ?? (with nedia, Dhiki Agus, and Karem at @top40karaoke) ? https://t.co/enwFeddjI7",neutral,-7.74928,110.3986
tian1892,The soul that sees beauty may sometime walk alone @ Pronto Steak &amp; Pasta https://t.co/jCBFJFREE5,positive,-7.68254099,110.41705925
leonardosandy,"Warung MieJawa yg ga kenal sepi, selalu ramai, tapi tetep? (w/ Inovani at bakmi &amp; nasgor pak pur) [pic] ? https://t.co/gHEE1vIbJw",negative,-7.78681,110.39497
poeljempol,? (at Bakso Urat &amp; Mie Ayam ?AMBARUKMO? Cak Pur ~ AREMA) ? https://t.co/0RNZpocEBB,neutral,-7.78336,110.40392
abid_blues,? (at Bakso Tengkleng Mas Bambang) ? https://t.co/hObRUs5iJA,neutral,-7.70437,110.60158
rizkiemi_,Main bareng yah bukan jaim bareng. ? @ Candi Ratu Boko https://t.co/Xqo2LHtgKD,neutral,-7.77001,110.4889
artha_doit,"CAPTAIN TOWING JOGJA - LAYANAN DEREK TOWING 24 JAM
JUNIO 'n crew (BANDUNG -? (at CAPTAIN TOWING JOGJA) [pic] ? https://t.co/BDte8wNgT8",neutral,-7.75385,110.39661
Novalalfiaan,Ayu? ? Beautiful in White by Hype (at Daerah Istimewa Yogyakarta) ? https://t.co/3IyBJYZB9S,positive,-7.7979,110.36485
michaeliz,ekspresi habis naik roller coaster.. seru Bro ?? @ Transmart Maguwo? https://t.co/bksKyQBPNR,neutral,-7.7841628,110.4220194
rockthatbaby,"Yogyakarta, tu es surprenante ? #streetart #indonesiantrip @ Yogyakarta https://t.co/f9uPNkChWU",neutral,-7.80138889,110.36444444
wildanrezki_,City of Angels by Thirty Seconds to Mars (at Kost Endro 23) ? https://t.co/QEH3afVJBP,neutral,-7.77131,110.38883
TiarlinCristina,"Gini nihhh kalau ? The Boss Baby (with Jasson, Erdyn, and 3 others at XXI Premiere Ambarukmo Plaza) ? https://t.co/slQwLsHVXg",neutral,-7.75717,110.42384
filipppppo,Akhirnya bisa ke tempat ini. Dan mencoba kopinya Bu Nur dari padang @ Klinik Kopi https://t.co/Ac4TL26s0A,positive,-7.73795841,110.39438009
artha_doit,"CAPTAIN TOWING JOGJA - LAYANAN DEREK TOWING 24 JAM
JUNIO 'n crew (BANDUNG - JOGJA)

Pada? https://t.co/yZXgQQGSwk",positive,-7.7454272,110.3980036
tyasarasw,you won't ever be alone?? @ Yogyakarta https://t.co/JLZ6H273vK,neutral,-7.80138889,110.36444444
widibebbec,"Malak sing ulangtaun bwahahaha (with @corneliushanung, KSTM, and 2 others at The House of Raminten) ? https://t.co/DyA9Fuy37Y",neutral,-7.78516,110.37134
sedherekboxer,Kami segenap OMK Pelem Dukuh &amp; OBOS ngaturaken agengeng maturnuwun ... @ Gereja St. Maria Fatima? https://t.co/El4ANJ7DP2,neutral,-7.77798,110.39458
artha_doit,"CAPTAIN TOWING JOGJA - LAYANAN DEREK TOWING 24 JAM
JUNIO 'n crew (BANDUNG - JOGJA)

Pada? https://t.co/s9L4wZJtim",neutral,-7.7454272,110.3980036
satyawjy,pelampiasan yang hqq? (with Papsky at @mcdonalds_id) ? https://t.co/5sWZ7waXKf,neutral,-7.73048,110.36326
endrisusilo_,"Happy Wedding mbak Lala &amp; Mas Dana
Semoga samawa sampai maut yang memisahkan kalian, ciyeeee....? https://t.co/ztEqwHL1yN",positive,-7.79133767,110.36267203
RevoSuladasha,"....
Silaturahim.
Menjemput Bapak.
Mempertemukan Cucu dengan Kakek.

#keluarga #family #bahagia? https://t.co/B1eYuF5lNM",neutral,-7.78285664,110.42271495
RamaIrmawan,dadi sek ditendangi ? (at Cah Futsal) ? https://t.co/nppQr5DHJH,neutral,-7.83509,110.38454
puputbungaa,Howoshowos? @ Lapangan Tembak Adisutjipto https://t.co/kva2a6MFvL,neutral,-7.7973182,110.4204208
edooocharist,Nempe (with Abednego at Burjo Andeska 05) ? https://t.co/8mRp3i0l1T,neutral,-7.77005,110.40977
aydstr,"@aditchucky kadang dudu pengen , tapi dibutuhke",neutral,-7.78004,110.361805
trihdyti,Gabut gabut (at @legendjogja) ? https://t.co/XrUN7P4oAh,neutral,-7.78797,110.37277
dharmawan_angga,"Dekorasi ijab
.
.
angga_sematawayang weddingorganizer. melayani dekorasi pelaminan. Rias? https://t.co/tADNt5YVyu",neutral,-7.77921706,110.45592255
Di_ammond,"invasi toretto!! #FF8 (with Rezky, Aditya, and 12 others at @cgvblitz) [pic] ? https://t.co/u7vmYDwfiG",neutral,-7.80659,110.35611
_defryariyanta,Full seat dom (at @cinema21) ? https://t.co/oVhhp4iEjG,neutral,-7.78389,110.38729
thyant,?????? (at Sate Taichan) ? https://t.co/jCJANdwQgm,neutral,-7.78097,110.40862
surlie_good,Black Forest (small) #cake #cakeart #birthday #birthdaycake #anniversary #anniversarygift? https://t.co/93Jkz5Pi79,negative,-7.77411732,110.41171704
aveelsafa25,#SesukPrei ?? (with Rani at @cgvblitz) [pic] ? https://t.co/VZ0tU9Feas,neutral,-7.77735,110.41522
VionitaaShakty,genduttttt (with Adinda and Riri at @mcdonalds_id) ? https://t.co/4XWG1a5LTi,negative,-7.78274,110.3717
elia_sunarto,"Semoga kerabat di Sukajaya masih mengenang ini
Tahun 2004 @ Candi Prambanan https://t.co/fVRpr3ng6L",positive,-7.75,110.49417
elia_sunarto,"Semoga kerabat di Sukajaya masih mengenang ini
Tahun 2004 @ Candi Prambanan https://t.co/fVRpr3ng6L",positive,-7.75,110.49417
RositaRDewi,? ? The Boss Baby (at CGV Blitz Hartono Mall) ? https://t.co/EKfCiVGqiS,neutral,-7.76993,110.42321
surlie_good,Buat buah tangan/acara sukuran.. tinggal pilih itemnya ja...? #syukuran #arisan #buahtangan? https://t.co/Gq751pk75G,neutral,-7.77411732,110.41171704
elia_sunarto,Tahun 2004 @ Candi Prambanan https://t.co/FsmDQmv4GV,neutral,-7.75,110.49417
dharmawan_angga,dekorasi minimalis menggunakan bunga segar? https://t.co/J0PbpcLNFB,positive,-7.77921706,110.45592255
dharmawan_angga,angga_sematawayang weddingorganizer. melayani dekorasi pelaminan. Rias pengantin. Vidio. Foto.? https://t.co/3rzNL1J2Ww,neutral,-7.77921706,110.45592255
sn_dyah,?? (at Mie The Demit) [pic] ? https://t.co/vYSFtfEVVb,neutral,-7.76985,110.40531
dchavdianti,Pet pulang ?? ? Bahagia Bersamamu by Adera (at Perumahan Timoho Regency) ? https://t.co/gcJ3JeeamT,neutral,-7.79892,110.39134
dharmawan_angga,@dharmawan_angga weddingorganizer. Juga melayani sound sistem. Penyanyi . Pembawa acara *mc.? https://t.co/sjBtFgDrYb,positive,-7.77921706,110.45592255
RitaRatnasari_,"Tertawalah sebelum tertawa itu dilarang ??? ini baju yg sering aku pake dari pagi, siang, kadang? https://t.co/kHPr7YS66z",negative,-7.78185696,110.40693073
kuuntisn,mendinginkan pikiran sesaat. (at @chachamilktea) ? https://t.co/ylcZ82pzDr,negative,-7.77217,110.40866
fitrisendika,https://t.co/H19nB9hoIe,neutral,-7.8200383,110.397075
cindy_harisandy,Are you ready? @ Transmart Maguwo Yogyakarta https://t.co/qQTBaSfM9V,positive,-7.7841628,110.4220194
yandhias,"pemberhentian selanjutnya Papua Barat.
Lets rock.......
#ristoja2017? https://t.co/UvNZHAzwmp",neutral,-7.78361963,110.39135064
yandhias,"pemberhentian selanjutnya Papua Barat.
Lets rock.......
#ristoja2017? https://t.co/UvNZHAzwmp",neutral,-7.78361963,110.39135064
